"","X.substring.year..1..4.."
"456","2012"
"457","2012"
"458","2012"
"459","2012"
"460","2012"
"461","2012"
"462","2012"
"463","2012"
"464","2012"
"465","2012"
"466","2012"
"467","2012"
"468","2012"
"469","2012"
"470","2012"
"471","2012"
"472","2012"
"473","2012"
"474","2012"
"475","2012"
"476","2012"
"477","2012"
"478","2012"
"479","2012"
"480","2012"
"481","2012"
"482","2012"
"483","2012"
"484","2012"
"485","2012"
"486","2012"
"487","2012"
"488","2012"
"489","2012"
"490","2012"
"491","2012"
"492","2012"
"493","2012"
"494","2012"
"495","2012"
"496","2012"
"497","2012"
"498","2012"
"499","2012"
"500","2012"
"501","2012"
"502","2012"
"503","2012"
"504","2012"
"505","2012"
"506","2012"
"507","2012"
"508","2012"
"509","2012"
"510","2012"
"511","2012"
"512","2012"
"513","2012"
"514","2012"
"515","2012"
"516","2012"
"517","2012"
"518","2012"
"519","2012"
"520","2012"
"521","2012"
"522","2012"
"523","2012"
"524","2012"
"525","2012"
"526","2012"
"527","2012"
"528","2012"
"529","2012"
"530","2012"
"531","2012"
"532","2012"
"533","2012"
"534","2012"
"535","2012"
"536","2012"
"537","2012"
"538","2012"
"539","2012"
"540","2012"
"541","2012"
"542","2012"
"543","2012"
"544","2012"
"545","2012"
"546","2012"
"547","2012"
"548","2012"
"549","2012"
"550","2012"
"551","2012"
"552","2012"
"553","2012"
"554","2012"
"555","2012"
"556","2012"
"557","2012"
"558","2012"
"559","2012"
"560","2012"
"561","2012"
"562","2012"
"563","2012"
"564","2012"
"565","2012"
"566","2012"
"567","2012"
"568","2012"
"569","2012"
"570","2012"
"571","2012"
"572","2012"
"573","2012"
"574","2012"
"575","2012"
"576","2012"
"577","2012"
"578","2012"
"579","2012"
"580","2012"
"581","2012"
"582","2012"
"583","2012"
"584","2012"
"585","2012"
"586","2012"
"587","2012"
"588","2012"
"589","2012"
"590","2012"
"591","2012"
"592","2012"
"593","2012"
"594","2012"
"595","2012"
"596","2012"
"597","2012"
"598","2012"
"599","2012"
"600","2012"
"601","2012"
"602","2012"
"603","2011"
"604","2011"
"605","2011"
"606","2011"
"607","2011"
"608","2011"
"609","2011"
"610","2011"
"611","2011"
"612","2011"
"613","2011"
"614","2011"
"615","2011"
"616","2011"
"617","2011"
"618","2011"
"619","2011"
"620","2011"
"621","2011"
"622","2011"
"623","2011"
"624","2011"
"625","2011"
"626","2011"
"627","2011"
"628","2011"
"629","2011"
"630","2011"
"631","2011"
"632","2011"
"633","2011"
"634","2011"
"635","2011"
"636","2011"
"637","2011"
"638","2011"
"639","2011"
"640","2011"
"641","2011"
"642","2011"
"643","2011"
"644","2011"
"645","2011"
"646","2011"
"647","2011"
"648","2011"
"649","2011"
"650","2011"
"651","2011"
"652","2011"
"653","2011"
"654","2011"
"655","2011"
"656","2011"
"657","2011"
"658","2011"
"659","2011"
"660","2011"
"661","2011"
"662","2011"
"663","2011"
"664","2011"
"665","2011"
"666","2011"
"667","2011"
"668","2011"
"669","2011"
"670","2011"
"671","2011"
"672","2011"
"673","2011"
"674","2011"
"675","2011"
"676","2011"
"677","2011"
"678","2011"
"679","2011"
"680","2011"
"681","2011"
"682","2011"
"683","2011"
"684","2011"
"685","2011"
"686","2011"
"687","2011"
"688","2011"
"689","2011"
"690","2011"
"691","2011"
"692","2011"
"693","2011"
"694","2011"
"695","2011"
"696","2011"
"697","2011"
"698","2011"
"699","2011"
"700","2011"
"701","2011"
"702","2011"
"703","2011"
"704","2011"
"705","2011"
"706","2011"
"707","2011"
"708","2011"
"709","2011"
"710","2011"
"711","2011"
"712","2011"
"713","2011"
"714","2011"
"715","2011"
"716","2011"
"717","2011"
"718","2011"
"719","2011"
"720","2011"
"721","2011"
"722","2010"
"723","2010"
"724","2010"
"725","2010"
"726","2010"
"727","2010"
"728","2010"
"729","2010"
"730","2010"
"731","2010"
"732","2010"
"733","2010"
"734","2010"
"735","2010"
"736","2010"
"737","2010"
"738","2010"
"739","2010"
"740","2010"
"741","2010"
"742","2010"
"743","2010"
"744","2010"
"745","2010"
"746","2010"
"747","2010"
"748","2010"
"749","2010"
"750","2010"
"751","2010"
"752","2010"
"753","2010"
"754","2010"
"755","2010"
"756","2010"
"757","2010"
"758","2010"
"759","2010"
"760","2010"
"761","2010"
"762","2010"
"763","2010"
"764","2010"
"765","2010"
"766","2010"
"767","2010"
"768","2010"
"769","2010"
"770","2010"
"771","2010"
"772","2010"
"773","2010"
"774","2010"
"775","2010"
"776","2010"
"777","2010"
"778","2010"
"779","2010"
"780","2010"
"781","2010"
"782","2010"
"783","2010"
"784","2010"
"785","2010"
"786","2010"
"787","2010"
"788","2010"
"789","2010"
"790","2010"
"791","2010"
"792","2010"
"793","2010"
"794","2010"
"795","2010"
"796","2010"
"797","2010"
"798","2010"
"799","2010"
"800","2010"
"801","2010"
"802","2010"
"803","2010"
"804","2010"
"805","2010"
"806","2010"
"807","2010"
"808","2010"
"809","2010"
"810","2010"
"811","2010"
"812","2010"
"813","2010"
"814","2010"
"815","2010"
"816","2010"
"817","2010"
"818","2010"
"819","2010"
"820","2010"
"821","2010"
"822","2010"
"823","2010"
"824","2010"
"825","2010"
"826","2010"
"827","2010"
"828","2010"
"829","2010"
"830","2010"
"831","2010"
"832","2010"
"833","2010"
"834","2010"
"835","2010"
"836","2010"
"837","2010"
"838","2010"
"839","2010"
"840","2010"
"841","2010"
"842","2010"
"843","2010"
"844","2010"
"845","2010"
"846","2010"
"847","2010"
"848","2010"
"849","2010"
"850","2010"
"851","2010"
"852","2010"
"853","2010"
"854","2010"
"855","2010"
"856","2010"
"857","2009"
"858","2009"
"859","2009"
"860","2009"
"861","2009"
"862","2009"
"863","2009"
"864","2009"
"865","2009"
"866","2009"
"867","2009"
"868","2009"
"869","2009"
"870","2009"
"871","2009"
"872","2009"
"873","2009"
"874","2009"
"875","2009"
"876","2009"
"877","2009"
"878","2009"
"879","2009"
"880","2009"
"881","2009"
"882","2009"
"883","2009"
"884","2009"
"885","2009"
"886","2009"
"887","2009"
"888","2009"
"889","2009"
"890","2009"
"891","2009"
"892","2009"
"893","2009"
"894","2009"
"895","2009"
"896","2009"
"897","2009"
"898","2009"
"899","2009"
"900","2009"
"901","2009"
"902","2009"
"903","2009"
"904","2009"
"905","2009"
"906","2009"
"907","2009"
"908","2009"
"909","2009"
"910","2009"
"911","2009"
"912","2009"
"913","2009"
"914","2009"
"915","2009"
"916","2009"
"917","2009"
"918","2009"
"919","2009"
"920","2009"
"921","2009"
"922","2009"
"923","2009"
"924","2009"
"925","2009"
"926","2009"
"927","2009"
"928","2009"
"929","2009"
"930","2009"
"931","2009"
"932","2009"
"933","2009"
"934","2009"
"935","2009"
"936","2009"
"937","2009"
"938","2009"
"939","2009"
"940","2009"
"941","2009"
"942","2009"
"943","2009"
"944","2009"
"945","2009"
"946","2009"
"947","2009"
"948","2009"
"949","2009"
"950","2009"
"951","2009"
"952","2009"
"953","2009"
"954","2009"
"955","2009"
"956","2009"
"957","2009"
"958","2009"
"959","2009"
"960","2009"
"961","2009"
"962","2009"
"963","2009"
"964","2009"
"965","2009"
"966","2009"
"967","2009"
"968","2009"
"969","2009"
"970","2009"
"971","2009"
"972","2009"
"973","2009"
"974","2009"
"975","2009"
"976","2009"
"977","2009"
"978","2009"
"979","2009"
"980","2009"
"981","2009"
"982","2009"
"983","2009"
"984","2009"
"985","2009"
"986","2009"
"987","2009"
"988","2009"
"989","2009"
"990","2009"
"991","2008"
"992","2008"
"993","2008"
"994","2008"
"995","2008"
"996","2008"
"997","2008"
"998","2008"
"999","2008"
"1000","2008"
"1001","2008"
"1002","2008"
"1003","2008"
"1004","2008"
"1005","2008"
"1006","2008"
"1007","2008"
"1008","2008"
"1009","2008"
"1010","2008"
"1011","2008"
"1012","2008"
"1013","2008"
"1014","2008"
"1015","2008"
"1016","2008"
"1017","2008"
"1018","2008"
"1019","2008"
"1020","2008"
"1021","2008"
"1022","2008"
"1023","2008"
"1024","2008"
"1025","2008"
"1026","2008"
"1027","2008"
"1028","2008"
"1029","2008"
"1030","2008"
"1031","2008"
"1032","2008"
"1033","2008"
"1034","2008"
"1035","2008"
"1036","2008"
"1037","2008"
"1038","2008"
"1039","2008"
"1040","2008"
"1041","2008"
"1042","2008"
"1043","2008"
"1044","2008"
"1045","2008"
"1046","2008"
"1047","2008"
"1048","2008"
"1049","2008"
"1050","2008"
"1051","2008"
"1052","2008"
"1053","2008"
"1054","2008"
"1055","2008"
"1056","2008"
"1057","2008"
"1058","2008"
"1059","2008"
"1060","2008"
"1061","2008"
"1062","2008"
"1063","2008"
"1064","2008"
"1065","2008"
"1066","2008"
"1067","2008"
"1068","2008"
"1069","2008"
"1070","2008"
"1071","2008"
"1072","2008"
"1073","2008"
"1074","2008"
"1075","2008"
"1076","2008"
"1077","2008"
"1078","2008"
"1079","2008"
"1080","2008"
"1081","2008"
"1082","2008"
"1083","2008"
"1084","2008"
"1085","2008"
"1086","2008"
"1087","2008"
"1088","2008"
"1089","2008"
"1090","2008"
"1091","2008"
"1092","2008"
"1093","2008"
"1094","2008"
"1095","2008"
"1096","2008"
"1097","2008"
"1098","2008"
"1099","2008"
"1100","2008"
"1101","2008"
"1102","2008"
"1103","2008"
"1104","2008"
"1105","2008"
"1106","2008"
"1107","2008"
"1108","2008"
"1109","2008"
"1110","2008"
"1111","2008"
"1112","2008"
"1113","2008"
"1114","2008"
"1115","2008"
"1116","2008"
"1117","2008"
"1118","2008"
"1119","2008"
"1120","2008"
"1121","2008"
"1122","2008"
"1123","2008"
"1124","2008"
"1125","2008"
"1126","2008"
"1127","2008"
"1128","2008"
"1129","2008"
"1130","2008"
"1131","2008"
"1132","2008"
"1133","2008"
"1134","2008"
"1135","2007"
"1136","2007"
"1137","2007"
"1138","2007"
"1139","2007"
"1140","2007"
"1141","2007"
"1142","2007"
"1143","2007"
"1144","2007"
"1145","2007"
"1146","2007"
"1147","2007"
"1148","2007"
"1149","2007"
"1150","2007"
"1151","2007"
"1152","2008"
"1153","2008"
"1154","2008"
"1155","2008"
"1156","2008"
"1157","2008"
"1158","2008"
"1159","2008"
"1160","2008"
"1161","2008"
"1162","2008"
"1163","2008"
"1164","2008"
"1165","2008"
"1166","2008"
"1167","2008"
"1168","2008"
"1169","2008"
"1170","2008"
"1171","2008"
"1172","2008"
"1173","2008"
"1174","2008"
"1175","2008"
"1176","2008"
"1177","2008"
"1178","2008"
"1179","2008"
"1180","2008"
"1181","2008"
"1182","2008"
"1183","2008"
"1184","2008"
"1185","2008"
"1186","2008"
"1187","2008"
"1188","2008"
"1189","2008"
"1190","2008"
"1191","2008"
"1192","2008"
"1193","2008"
"1194","2008"
"1195","2008"
"1196","2008"
"1197","2008"
"1198","2008"
"1199","2008"
"1200","2008"
"1201","2008"
"1202","2008"
"1203","2008"
"1204","2008"
"1205","2008"
"1206","2008"
"1207","2008"
"1208","2008"
"1209","2008"
"1210","2008"
"1211","2008"
"1212","2008"
"1213","2008"
"1214","2008"
"1215","2008"
"1216","2008"
"1217","2008"
"1218","2008"
"1219","2008"
"1220","2008"
"1221","2008"
"1222","2008"
"1223","2008"
"1224","2008"
"1225","2008"
"1226","2008"
"1227","2008"
"1228","2008"
"1229","2008"
"1230","2008"
"1231","2008"
"1232","2008"
"1233","2008"
"1234","2008"
"1235","2007"
"1236","2007"
"1237","2007"
"1238","2007"
"1239","2007"
"1240","2007"
"1241","2007"
"1242","2007"
"1243","2007"
"1244","2007"
"1245","2007"
"1246","2007"
"1247","2007"
"1248","2007"
"1249","2007"
"1250","2007"
"1251","2007"
"1252","2007"
"1253","2007"
"1254","2007"
"1255","2007"
"1256","2007"
"1257","2007"
"1258","2007"
"1259","2007"
"1260","2007"
"1261","2007"
"1262","2007"
"1263","2007"
"1264","2007"
"1265","2007"
"1266","2007"
"1267","2007"
"1268","2007"
"1269","2007"
"1270","2007"
"1271","2007"
"1272","2007"
"1273","2007"
"1274","2007"
"1275","2007"
"1276","2007"
"1277","2007"
"1278","2007"
"1279","2007"
"1280","2007"
"1281","2007"
"1282","2007"
"1283","2007"
"1284","2007"
"1285","2007"
"1286","2007"
"1287","2007"
"1288","2007"
"1289","2007"
"1290","2007"
"1291","2007"
"1292","2007"
"1293","2007"
"1294","2007"
"1295","2007"
"1296","2007"
"1297","2007"
"1298","2007"
"1299","2007"
"1300","2007"
"1301","2007"
"1302","2007"
"1303","2007"
"1304","2007"
"1305","2007"
"1306","2007"
"1307","2007"
"1308","2007"
"1309","2007"
"1310","2007"
"1311","2007"
"1312","2007"
"1313","2007"
"1314","2007"
"1315","2007"
"1316","2007"
"1317","2007"
"1318","2007"
"1319","2007"
"1320","2007"
"1321","2007"
"1322","2007"
"1323","2007"
"1324","2007"
"1325","2007"
"1326","2007"
"1327","2007"
"1328","2007"
"1329","2007"
"1330","2007"
"1331","2007"
"1332","2007"
"1333","2007"
"1334","2007"
"1335","2007"
"1336","2007"
"1337","2007"
"1338","2007"
"1339","2007"
"1340","2007"
"1341","2007"
"1342","2007"
"1343","2007"
"1344","2007"
"1345","2007"
"1346","2007"
"1347","2007"
"1348","2007"
"1349","2007"
"1350","2007"
"1351","2007"
"1352","2006"
"1353","2006"
"1354","2006"
"1355","2006"
"1356","2006"
"1357","2006"
"1358","2006"
"1359","2006"
"1360","2006"
"1361","2006"
"1362","2006"
"1363","2006"
"1364","2006"
"1365","2006"
"1366","2006"
"1367","2006"
"1368","2006"
"1369","2006"
"1370","2006"
"1371","2006"
"1372","2006"
"1373","2006"
"1374","2006"
"1375","2006"
"1376","2006"
"1377","2006"
"1378","2006"
"1379","2006"
"1380","2006"
"1381","2006"
"1382","2006"
"1383","2006"
"1384","2006"
"1385","2006"
"1386","2006"
"1387","2006"
"1388","2006"
"1389","2006"
"1390","2006"
"1391","2006"
"1392","2006"
"1393","2006"
"1394","2006"
"1395","2006"
"1396","2006"
"1397","2006"
"1398","2006"
"1399","2006"
"1400","2006"
"1401","2006"
"1402","2006"
"1403","2006"
"1404","2006"
"1405","2006"
"1406","2006"
"1407","2006"
"1408","2006"
"1409","2006"
"1410","2006"
"1411","2006"
"1412","2006"
"1413","2006"
"1414","2006"
"1415","2006"
"1416","2006"
"1417","2006"
"1418","2006"
"1419","2006"
"1420","2006"
"1421","2006"
"1422","2006"
"1423","2006"
"1424","2006"
"1425","2006"
"1426","2006"
"1427","2006"
"1428","2006"
"1429","2006"
"1430","2006"
"1431","2006"
"1432","2006"
"1433","2006"
"1434","2006"
"1435","2006"
"1436","2006"
"1437","2006"
"1438","2006"
"1439","2006"
"1440","2006"
"1441","2006"
"1442","2006"
"1443","2006"
"1444","2006"
"1445","2006"
"1446","2006"
"1447","2006"
"1448","2006"
"1449","2005"
"1450","2005"
"1451","2005"
"1452","2005"
"1453","2005"
"1454","2005"
"1455","2005"
"1456","2005"
"1457","2005"
"1458","2005"
"1459","2005"
"1460","2005"
"1461","2005"
"1462","2005"
"1463","2005"
"1464","2005"
"1465","2005"
"1466","2005"
"1467","2005"
"1468","2005"
"1469","2005"
"1470","2005"
"1471","2005"
"1472","2005"
"1473","2005"
"1474","2005"
"1475","2005"
"1476","2005"
"1477","2005"
"1478","2005"
"1479","2005"
"1480","2005"
"1481","2005"
"1482","2005"
"1483","2005"
"1484","2005"
"1485","2005"
"1486","2005"
"1487","2005"
"1488","2005"
"1489","2005"
"1490","2005"
"1491","2005"
"1492","2005"
"1493","2005"
"1494","2005"
"1495","2005"
"1496","2005"
"1497","2005"
"1498","2005"
"1499","2005"
"1500","2005"
"1501","2005"
"1502","2005"
"1503","2005"
"1504","2005"
"1505","2005"
"1506","2005"
"1507","2005"
"1508","2005"
"1509","2005"
"1510","2005"
"1511","2005"
"1512","2005"
"1513","2005"
"1514","2005"
"1515","2005"
"1516","2005"
"1517","2005"
"1518","2005"
"1519","2005"
"1520","2005"
"1521","2005"
"1522","2005"
"1523","2005"
"1524","2005"
"1525","2005"
"1526","2005"
"1527","2005"
"1528","2005"
"1529","2005"
"1530","2005"
"1531","2005"
"1532","2005"
"1533","2005"
"1534","2005"
"1535","2005"
"1536","2005"
"1537","2005"
"1538","2005"
"1539","2005"
"1540","2005"
"1541","2005"
"1542","2005"
"1543","2005"
"1544","2005"
"1545","2005"
"1546","2005"
"1547","2005"
"1548","2005"
"1549","2005"
"1550","2005"
"1551","2005"
"1552","2005"
"1553","2005"
"1554","2005"
"1555","2004"
"1556","2004"
"1557","2004"
"1558","2004"
"1559","2004"
"1560","2004"
"1561","2004"
"1562","2004"
"1563","2004"
"1564","2004"
"1565","2004"
"1566","2004"
"1567","2004"
"1568","2004"
"1569","2004"
"1570","2004"
"1571","2004"
"1572","2004"
"1573","2004"
"1574","2004"
"1575","2004"
"1576","2004"
"1577","2004"
"1578","2004"
"1579","2004"
"1580","2004"
"1581","2004"
"1582","2004"
"1583","2004"
"1584","2004"
"1585","2004"
"1586","2004"
"1587","2004"
"1588","2004"
"1589","2004"
"1590","2004"
"1591","2004"
"1592","2004"
"1593","2004"
"1594","2004"
"1595","2004"
"1596","2004"
"1597","2004"
"1598","2004"
"1599","2004"
"1600","2004"
"1601","2004"
"1602","2004"
"1603","2004"
"1604","2004"
"1605","2004"
"1606","2004"
"1607","2004"
"1608","2004"
"1609","2004"
"1610","2004"
"1611","2004"
"1612","2004"
"1613","2004"
"1614","2004"
"1615","2004"
"1616","2004"
"1617","2004"
"1618","2004"
"1619","2004"
"1620","2004"
"1621","2004"
"1622","2004"
"1623","2004"
"1624","2004"
"1625","2004"
"1626","2004"
"1627","2004"
"1628","2004"
"1629","2004"
"1630","2004"
"1631","2004"
"1632","2004"
"1633","2004"
"1634","2004"
"1635","2004"
"1636","2004"
"1637","2004"
"1638","2004"
"1639","2004"
"1640","2004"
"1641","2004"
"1642","2004"
"1643","2004"
"1644","2004"
"1645","2004"
"1646","2004"
"1647","2004"
"1648","2004"
"1649","2004"
"1650","2004"
"1651","2004"
"1652","2004"
"1653","2004"
"1654","2004"
"1655","2004"
"1656","2004"
"1657","2004"
"1658","2004"
"1659","2004"
"1660","2004"
"1661","2004"
"1662","2004"
"1663","2003"
"1664","2003"
"1665","2003"
"1666","2003"
"1667","2003"
"1668","2003"
"1669","2003"
"1670","2003"
"1671","2003"
"1672","2003"
"1673","2003"
"1674","2003"
"1675","2003"
"1676","2003"
"1677","2003"
"1678","2003"
"1679","2003"
"1680","2003"
"1681","2003"
"1682","2003"
"1683","2003"
"1684","2003"
"1685","2003"
"1686","2003"
"1687","2003"
"1688","2003"
"1689","2003"
"1690","2003"
"1691","2003"
"1692","2003"
"1693","2003"
"1694","2003"
"1695","2003"
"1696","2003"
"1697","2003"
"1698","2003"
"1699","2003"
"1700","2003"
"1701","2003"
"1702","2003"
"1703","2003"
"1704","2003"
"1705","2003"
"1706","2003"
"1707","2003"
"1708","2003"
"1709","2003"
"1710","2003"
"1711","2003"
"1712","2003"
"1713","2003"
"1714","2003"
"1715","2003"
"1716","2003"
"1717","2003"
"1718","2003"
"1719","2003"
"1720","2003"
"1721","2003"
"1722","2003"
"1723","2003"
"1724","2003"
"1725","2003"
"1726","2003"
"1727","2003"
"1728","2003"
"1729","2003"
"1730","2003"
"1731","2003"
"1732","2003"
"1733","2003"
"1734","2003"
"1735","2003"
"1736","2003"
"1737","2003"
"1738","2003"
"1739","2003"
"1740","2003"
"1741","2003"
"1742","2003"
"1743","2003"
"1744","2003"
"1745","2003"
"1746","2003"
"1747","2003"
"1748","2003"
"1749","2003"
"1750","2003"
"1751","2003"
"1752","2003"
"1753","2003"
"1754","2003"
"1755","2003"
"1756","2003"
"1757","2003"
"1758","2003"
"1759","2003"
"1760","2003"
"1761","2003"
"1762","2003"
"1763","2003"
"1764","2003"
"1765","2003"
"1766","2003"
"1767","2003"
"1768","2003"
"1769","2003"
"1770","2003"
"1771","2003"
"1772","2003"
"1773","2003"
"1774","2003"
"1775","2003"
"1776","2003"
"1777","2003"
"1778","2003"
"1779","2003"
"1780","2003"
"1781","2003"
"1782","2003"
"1783","2003"
"1784","2003"
"1785","2003"
"1786","2003"
"1787","2003"
"1788","2003"
"1789","2003"
"1790","2003"
"1791","2003"
"1792","2003"
"1793","2003"
"1794","2003"
"1795","2003"
"1796","2003"
"1797","2003"
"1798","2003"
"1799","2003"
"1800","2003"
"1801","2003"
"1802","2003"
"1803","2003"
"1804","2003"
"1805","2002"
"1806","2002"
"1807","2002"
"1808","2002"
"1809","2002"
"1810","2002"
"1811","2002"
"1812","2002"
"1813","2002"
"1814","2002"
"1815","2002"
"1816","2002"
"1817","2002"
"1818","2002"
"1819","2002"
"1820","2002"
"1821","2002"
"1822","2002"
"1823","2002"
"1824","2002"
"1825","2002"
"1826","2002"
"1827","2002"
"1828","2002"
"1829","2002"
"1830","2002"
"1831","2002"
"1832","2002"
"1833","2002"
"1834","2002"
"1835","2002"
"1836","2002"
"1837","2002"
"1838","2002"
"1839","2002"
"1840","2002"
"1841","2002"
"1842","2002"
"1843","2002"
"1844","2002"
"1845","2002"
"1846","2002"
"1847","2002"
"1848","2002"
"1849","2002"
"1850","2002"
"1851","2002"
"1852","2002"
"1853","2002"
"1854","2002"
"1855","2002"
"1856","2002"
"1857","2002"
"1858","2002"
"1859","2002"
"1860","2002"
"1861","2002"
"1862","2002"
"1863","2002"
"1864","2002"
"1865","2002"
"1866","2002"
"1867","2002"
"1868","2002"
"1869","2002"
"1870","2002"
"1871","2002"
